trial,max_attempts,random_restarts,best_fitness,time,iterations
0,2,20,6.0,0.00316619873046875,42
0,2,40,5.0,0.015585660934448242,86
0,2,60,8.0,0.0415191650390625,127
0,2,80,7.0,0.03589797019958496,167
0,2,100,7.0,0.03809714317321777,214
0,8,20,5.0,0.012140274047851562,186
0,8,40,6.0,0.058007240295410156,362
0,8,60,9.0,0.0671389102935791,541
0,8,80,8.0,0.10047650337219238,753
0,8,100,9.0,0.11890864372253418,873
0,32,20,8.0,0.0996706485748291,919
0,32,40,15.0,0.258791446685791,1807
0,32,60,14.0,0.3062429428100586,2703
0,32,80,13.0,0.45516371726989746,3550
0,32,100,19.0,0.5479085445404053,4451
0,128,20,52.0,1.3351247310638428,9246
0,128,40,60.0,2.643929958343506,20037
0,128,60,57.0,3.3924646377563477,26305
0,128,80,60.0,4.810361385345459,37099
0,128,100,60.0,5.459227561950684,43123
0,512,20,60.0,7.185902118682861,48223
0,512,40,60.0,13.217312812805176,91488
0,512,60,60.0,20.564515829086304,138019
0,512,80,60.0,27.901910543441772,182480
0,512,100,60.0,37.644262075424194,237286
1,2,20,4.0,0.007970809936523438,44
1,2,40,7.0,0.014959573745727539,82
1,2,60,11.0,0.02094578742980957,124
1,2,80,9.0,0.031913042068481445,178
1,2,100,6.0,0.03195023536682129,205
1,8,20,8.0,0.03425192832946777,210
1,8,40,8.0,0.05197334289550781,402
1,8,60,11.0,0.0701439380645752,519
1,8,80,8.0,0.08360552787780762,723
1,8,100,11.0,0.12052130699157715,920
1,32,20,9.0,0.12129521369934082,907
1,32,40,13.0,0.19663476943969727,1795
1,32,60,20.0,0.34947657585144043,3032
1,32,80,19.0,0.39757466316223145,3541
1,32,100,13.0,0.45801544189453125,4238
1,128,20,60.0,1.6001405715942383,11802
1,128,40,60.0,2.520813465118408,18732
1,128,60,60.0,3.234257698059082,25148
1,128,80,60.0,5.230707883834839,38202
1,128,100,60.0,5.948440313339233,45309
1,512,20,60.0,7.64665412902832,50809
1,512,40,60.0,14.184455871582031,95061
1,512,60,60.0,21.18788433074951,136628
1,512,80,60.0,26.563265323638916,175420
1,512,100,60.0,33.863945960998535,225456
2,2,20,5.0,0.0020236968994140625,43
2,2,40,8.0,0.015622615814208984,83
2,2,60,7.0,0.029400348663330078,129
2,2,80,7.0,0.03741145133972168,163
2,2,100,8.0,0.03335094451904297,213
2,8,20,8.0,0.01993083953857422,173
2,8,40,4.0,0.03362917900085449,360
2,8,60,7.0,0.05230903625488281,521
2,8,80,16.0,0.09165620803833008,767
2,8,100,9.0,0.12260675430297852,960
2,32,20,10.0,0.1058354377746582,988
2,32,40,12.0,0.23056721687316895,1817
2,32,60,15.0,0.3209545612335205,2943
2,32,80,15.0,0.41715502738952637,3714
2,32,100,14.0,0.5423314571380615,4839
2,128,20,36.0,0.9919075965881348,8188
2,128,40,60.0,2.462442636489868,19117
2,128,60,60.0,3.5960307121276855,28171
2,128,80,60.0,4.202199459075928,33656
2,128,100,60.0,5.401420593261719,43926
2,512,20,60.0,7.040585041046143,46866
2,512,40,60.0,13.897974729537964,92307
2,512,60,60.0,20.751283884048462,136523
2,512,80,60.0,27.10012912750244,181280
2,512,100,60.0,34.2531316280365,228475
3,2,20,5.0,0.01688981056213379,48
3,2,40,8.0,0.012964725494384766,84
3,2,60,11.0,0.013096809387207031,132
3,2,80,8.0,0.03191399574279785,171
3,2,100,11.0,0.03290963172912598,212
3,8,20,6.0,0.02706170082092285,207
3,8,40,5.0,0.03409290313720703,348
3,8,60,7.0,0.06833672523498535,551
3,8,80,11.0,0.09047651290893555,717
3,8,100,15.0,0.12040400505065918,902
3,32,20,10.0,0.0911407470703125,904
3,32,40,7.0,0.16831278800964355,1696
3,32,60,15.0,0.33362364768981934,2755
3,32,80,13.0,0.4215567111968994,3563
3,32,100,22.0,0.5515470504760742,4840
3,128,20,55.0,1.318669080734253,9918
3,128,40,104.0,2.569509744644165,19273
3,128,60,60.0,3.107984781265259,24352
3,128,80,60.0,5.150821685791016,39842
3,128,100,60.0,7.060150623321533,53145
3,512,20,60.0,6.671967506408691,43838
3,512,40,60.0,13.881038904190063,91768
3,512,60,60.0,21.85063886642456,141105
3,512,80,60.0,26.304948091506958,176725
3,512,100,60.0,33.50895690917969,222616
4,2,20,6.0,0.00802755355834961,46
4,2,40,4.0,0.012922525405883789,85
4,2,60,8.0,0.02094554901123047,130
4,2,80,7.0,0.033033132553100586,175
4,2,100,12.0,0.03412628173828125,210
4,8,20,6.0,0.021939992904663086,190
4,8,40,6.0,0.034105777740478516,375
4,8,60,9.0,0.06712555885314941,573
4,8,80,11.0,0.07938694953918457,681
4,8,100,11.0,0.10850667953491211,905
4,32,20,8.0,0.06722712516784668,781
4,32,40,16.0,0.1966078281402588,1915
4,32,60,15.0,0.3535637855529785,2737
4,32,80,18.0,0.39975881576538086,3680
4,32,100,12.0,0.5052852630615234,4574
4,128,20,60.0,1.7537894248962402,12390
4,128,40,60.0,2.789902687072754,21166
4,128,60,60.0,3.556741237640381,28089
4,128,80,56.0,4.4719438552856445,34697
4,128,100,60.0,5.607924222946167,44243
4,512,20,60.0,7.269301652908325,46720
4,512,40,60.0,14.041807651519775,93322
4,512,60,60.0,19.956488132476807,130332
4,512,80,60.0,26.975764989852905,180667
4,512,100,60.0,33.54176354408264,225496
