VI Convergence True  gamma(1.0), theta(1e-08) reached at 4/1000 iterations in 14.8(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.504
PI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 0.03(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.401
VI Convergence True  gamma(1.0), theta(1e-08) reached at 4/1000 iterations in 15.02(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.504
PI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 0.03(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.401
VI Convergence True  gamma(1.0), theta(1e-08) reached at 4/1000 iterations in 14.51(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.504
PI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 0.02(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.401
VI Convergence True  gamma(1.0), theta(1e-08) reached at 4/1000 iterations in 15.29(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.504
PI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 0.02(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.401
VI Convergence True  gamma(1.0), theta(1e-08) reached at 4/1000 iterations in 15.01(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.504
PI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 0.02(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.401
VI Convergence True  gamma(1.0), theta(1e-08) reached at 5/1000 iterations in 19.69(s). delta=0.0, mean=0.3758, reward=0.398. rewards/iterations=0.454
PI Convergence True  gamma(1.0), theta(1e-08) reached at 1/1000 iterations in 0.01(s). delta=0.0, mean=0.0, reward=0.337. rewards/iterations=0.337
VI Convergence True  gamma(1.0), theta(1e-08) reached at 5/1000 iterations in 20.13(s). delta=0.0, mean=0.3758, reward=0.398. rewards/iterations=0.454
PI Convergence True  gamma(1.0), theta(1e-08) reached at 1/1000 iterations in 0.02(s). delta=0.0, mean=0.0, reward=0.337. rewards/iterations=0.337
VI Convergence True  gamma(1.0), theta(1e-08) reached at 5/1000 iterations in 20.87(s). delta=0.0, mean=0.3758, reward=0.398. rewards/iterations=0.454
PI Convergence True  gamma(1.0), theta(1e-08) reached at 1/1000 iterations in 0.01(s). delta=0.0, mean=0.0, reward=0.337. rewards/iterations=0.337
VI Convergence True  gamma(1.0), theta(1e-08) reached at 5/1000 iterations in 20.01(s). delta=0.0, mean=0.3758, reward=0.398. rewards/iterations=0.454
PI Convergence True  gamma(1.0), theta(1e-08) reached at 1/1000 iterations in 0.01(s). delta=0.0, mean=0.0, reward=0.337. rewards/iterations=0.337
