PI Convergence True  gamma(1.0), theta(1e-07) reached at 1/2000 iterations in 0.08(s). delta=0.0, mean=0.0, reward=0.306. rewards/iterations=0.306
PI Convergence True  gamma(1.0), theta(1e-05) reached at 18/2000 iterations in 1.63(s). delta=9.9068e-06, mean=0.3912, reward=0.419. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(0.001) reached at 13/2000 iterations in 1.37(s). delta=0.0006449725, mean=0.3911, reward=0.419. rewards/iterations=0.397
PI Convergence True  gamma(0.7), theta(1e-07) reached at 18/2000 iterations in 1.76(s). delta=3.29e-08, mean=0.303, reward=0.405. rewards/iterations=0.392
PI Convergence True  gamma(0.7), theta(1e-05) reached at 14/2000 iterations in 1.3(s). delta=3.5709e-06, mean=0.303, reward=0.405. rewards/iterations=0.391
PI Convergence True  gamma(0.7), theta(0.001) reached at 9/2000 iterations in 0.67(s). delta=0.0006147716, mean=0.303, reward=0.404. rewards/iterations=0.386
PI Convergence True  gamma(0.4), theta(1e-07) reached at 13/2000 iterations in 1.09(s). delta=2.71e-08, mean=0.2471, reward=0.4. rewards/iterations=0.387
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.86(s). delta=1.9569e-06, mean=0.2471, reward=0.4. rewards/iterations=0.388
PI Convergence True  gamma(0.4), theta(0.001) reached at 7/2000 iterations in 0.58(s). delta=0.000318505, mean=0.2471, reward=0.4. rewards/iterations=0.385
PI Convergence True  gamma(1.0), theta(1e-07) reached at 1/2000 iterations in 0.09(s). delta=0.0, mean=0.0, reward=0.311. rewards/iterations=0.311
PI Convergence True  gamma(1.0), theta(1e-05) reached at 18/2000 iterations in 1.6(s). delta=9.9068e-06, mean=0.3912, reward=0.419. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(0.001) reached at 13/2000 iterations in 1.17(s). delta=0.0006449725, mean=0.3911, reward=0.419. rewards/iterations=0.397
PI Convergence True  gamma(0.7), theta(1e-07) reached at 18/2000 iterations in 1.8(s). delta=3.29e-08, mean=0.303, reward=0.405. rewards/iterations=0.392
PI Convergence True  gamma(0.7), theta(1e-05) reached at 14/2000 iterations in 1.33(s). delta=3.5709e-06, mean=0.303, reward=0.405. rewards/iterations=0.391
PI Convergence True  gamma(0.7), theta(0.001) reached at 9/2000 iterations in 0.78(s). delta=0.0006147716, mean=0.303, reward=0.404. rewards/iterations=0.386
PI Convergence True  gamma(0.4), theta(1e-07) reached at 13/2000 iterations in 1.01(s). delta=2.71e-08, mean=0.2471, reward=0.4. rewards/iterations=0.387
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.86(s). delta=1.9569e-06, mean=0.2471, reward=0.4. rewards/iterations=0.388
PI Convergence True  gamma(0.4), theta(0.001) reached at 7/2000 iterations in 0.59(s). delta=0.000318505, mean=0.2471, reward=0.4. rewards/iterations=0.385
PI Convergence True  gamma(1.0), theta(1e-07) reached at 24/2000 iterations in 2.21(s). delta=9.13e-08, mean=0.3912, reward=0.41. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(1e-05) reached at 18/2000 iterations in 1.58(s). delta=9.9068e-06, mean=0.3912, reward=0.419. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(0.001) reached at 13/2000 iterations in 1.29(s). delta=0.0006449725, mean=0.3911, reward=0.419. rewards/iterations=0.397
PI Convergence True  gamma(0.7), theta(1e-07) reached at 18/2000 iterations in 1.64(s). delta=3.29e-08, mean=0.303, reward=0.405. rewards/iterations=0.392
PI Convergence True  gamma(0.7), theta(1e-05) reached at 14/2000 iterations in 1.23(s). delta=3.5709e-06, mean=0.303, reward=0.405. rewards/iterations=0.391
PI Convergence True  gamma(0.7), theta(0.001) reached at 9/2000 iterations in 0.77(s). delta=0.0006147716, mean=0.303, reward=0.404. rewards/iterations=0.386
PI Convergence True  gamma(0.4), theta(1e-07) reached at 13/2000 iterations in 1.15(s). delta=2.71e-08, mean=0.2471, reward=0.4. rewards/iterations=0.387
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.88(s). delta=1.9569e-06, mean=0.2471, reward=0.4. rewards/iterations=0.388
PI Convergence True  gamma(0.4), theta(0.001) reached at 7/2000 iterations in 0.58(s). delta=0.000318505, mean=0.2471, reward=0.4. rewards/iterations=0.385
