VI Convergence True  gamma(1.0), theta(1e-07) reached at 12/2000 iterations in 53.27(s). delta=7.82e-08, mean=0.3912, reward=0.411. rewards/iterations=0.421
VI Convergence True  gamma(1.0), theta(1e-05) reached at 10/2000 iterations in 47.99(s). delta=2.6418e-06, mean=0.3912, reward=0.411. rewards/iterations=0.427
VI Convergence True  gamma(1.0), theta(0.001) reached at 7/2000 iterations in 38.91(s). delta=0.000393216, mean=0.3912, reward=0.41. rewards/iterations=0.437
VI Convergence True  gamma(0.7), theta(1e-07) reached at 11/2000 iterations in 51.61(s). delta=7.2e-09, mean=0.303, reward=0.409. rewards/iterations=0.418
VI Convergence True  gamma(0.7), theta(1e-05) reached at 8/2000 iterations in 42.03(s). delta=4.4531e-06, mean=0.303, reward=0.409. rewards/iterations=0.428
VI Convergence True  gamma(0.7), theta(0.001) reached at 6/2000 iterations in 37.19(s). delta=0.0001927561, mean=0.303, reward=0.409. rewards/iterations=0.441
VI Convergence True  gamma(0.4), theta(1e-07) reached at 8/2000 iterations in 43.94(s). delta=1.3e-08, mean=0.2471, reward=0.389. rewards/iterations=0.423
VI Convergence True  gamma(0.4), theta(1e-05) reached at 6/2000 iterations in 38.15(s). delta=6.7109e-06, mean=0.2471, reward=0.389. rewards/iterations=0.435
VI Convergence True  gamma(0.4), theta(0.001) reached at 4/2000 iterations in 32.31(s). delta=0.0003437819, mean=0.2471, reward=0.389. rewards/iterations=0.461
VI Convergence True  gamma(1.0), theta(1e-07) reached at 12/2000 iterations in 51.89(s). delta=7.82e-08, mean=0.3912, reward=0.411. rewards/iterations=0.421
VI Convergence True  gamma(1.0), theta(1e-05) reached at 10/2000 iterations in 46.89(s). delta=2.6418e-06, mean=0.3912, reward=0.411. rewards/iterations=0.427
VI Convergence True  gamma(1.0), theta(0.001) reached at 7/2000 iterations in 39.52(s). delta=0.000393216, mean=0.3912, reward=0.41. rewards/iterations=0.437
VI Convergence True  gamma(0.7), theta(1e-07) reached at 11/2000 iterations in 50.75(s). delta=7.2e-09, mean=0.303, reward=0.409. rewards/iterations=0.418
VI Convergence True  gamma(0.7), theta(1e-05) reached at 8/2000 iterations in 42.61(s). delta=4.4531e-06, mean=0.303, reward=0.409. rewards/iterations=0.428
VI Convergence True  gamma(0.7), theta(0.001) reached at 6/2000 iterations in 37.45(s). delta=0.0001927561, mean=0.303, reward=0.409. rewards/iterations=0.441
VI Convergence True  gamma(0.4), theta(1e-07) reached at 8/2000 iterations in 43.64(s). delta=1.3e-08, mean=0.2471, reward=0.389. rewards/iterations=0.423
VI Convergence True  gamma(0.4), theta(1e-05) reached at 6/2000 iterations in 38.44(s). delta=6.7109e-06, mean=0.2471, reward=0.389. rewards/iterations=0.435
VI Convergence True  gamma(0.4), theta(0.001) reached at 4/2000 iterations in 32.62(s). delta=0.0003437819, mean=0.2471, reward=0.389. rewards/iterations=0.461
VI Convergence True  gamma(1.0), theta(1e-07) reached at 12/2000 iterations in 52.62(s). delta=7.82e-08, mean=0.3912, reward=0.411. rewards/iterations=0.421
VI Convergence True  gamma(1.0), theta(1e-05) reached at 10/2000 iterations in 48.66(s). delta=2.6418e-06, mean=0.3912, reward=0.411. rewards/iterations=0.427
VI Convergence True  gamma(1.0), theta(0.001) reached at 7/2000 iterations in 40.41(s). delta=0.000393216, mean=0.3912, reward=0.41. rewards/iterations=0.437
VI Convergence True  gamma(0.7), theta(1e-07) reached at 11/2000 iterations in 51.93(s). delta=7.2e-09, mean=0.303, reward=0.409. rewards/iterations=0.418
VI Convergence True  gamma(0.7), theta(1e-05) reached at 8/2000 iterations in 45.23(s). delta=4.4531e-06, mean=0.303, reward=0.409. rewards/iterations=0.428
VI Convergence True  gamma(0.7), theta(0.001) reached at 6/2000 iterations in 39.43(s). delta=0.0001927561, mean=0.303, reward=0.409. rewards/iterations=0.441
VI Convergence True  gamma(0.4), theta(1e-07) reached at 8/2000 iterations in 45.67(s). delta=1.3e-08, mean=0.2471, reward=0.389. rewards/iterations=0.423
VI Convergence True  gamma(0.4), theta(1e-05) reached at 6/2000 iterations in 41.0(s). delta=6.7109e-06, mean=0.2471, reward=0.389. rewards/iterations=0.435
VI Convergence True  gamma(0.4), theta(0.001) reached at 4/2000 iterations in 35.03(s). delta=0.0003437819, mean=0.2471, reward=0.389. rewards/iterations=0.461
