PI Convergence True  gamma(1.0), theta(1e-07) reached at 1/2000 iterations in 0.08(s). delta=0.0, mean=0.0, reward=0.309. rewards/iterations=0.309
PI Convergence True  gamma(1.0), theta(1e-05) reached at 18/2000 iterations in 1.21(s). delta=9.9068e-06, mean=0.3912, reward=0.419. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(0.001) reached at 13/2000 iterations in 0.84(s). delta=0.0006449725, mean=0.3911, reward=0.419. rewards/iterations=0.397
PI Convergence True  gamma(0.7), theta(1e-07) reached at 18/2000 iterations in 1.07(s). delta=3.29e-08, mean=0.303, reward=0.405. rewards/iterations=0.392
PI Convergence True  gamma(0.7), theta(1e-05) reached at 14/2000 iterations in 0.89(s). delta=3.5709e-06, mean=0.303, reward=0.405. rewards/iterations=0.391
PI Convergence True  gamma(0.7), theta(0.001) reached at 9/2000 iterations in 0.52(s). delta=0.0006147716, mean=0.303, reward=0.404. rewards/iterations=0.386
PI Convergence True  gamma(0.4), theta(1e-07) reached at 13/2000 iterations in 0.74(s). delta=2.71e-08, mean=0.2471, reward=0.4. rewards/iterations=0.387
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.58(s). delta=1.9569e-06, mean=0.2471, reward=0.4. rewards/iterations=0.388
PI Convergence True  gamma(0.4), theta(0.001) reached at 7/2000 iterations in 0.37(s). delta=0.000318505, mean=0.2471, reward=0.4. rewards/iterations=0.385
PI Convergence True  gamma(1.0), theta(1e-07) reached at 24/2000 iterations in 1.48(s). delta=9.13e-08, mean=0.3912, reward=0.41. rewards/iterations=0.391
PI Convergence True  gamma(1.0), theta(1e-05) reached at 18/2000 iterations in 1.07(s). delta=9.9068e-06, mean=0.3912, reward=0.419. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(0.001) reached at 13/2000 iterations in 0.66(s). delta=0.0006449725, mean=0.3911, reward=0.419. rewards/iterations=0.397
PI Convergence True  gamma(0.7), theta(1e-07) reached at 18/2000 iterations in 1.02(s). delta=3.29e-08, mean=0.303, reward=0.405. rewards/iterations=0.392
PI Convergence True  gamma(0.7), theta(1e-05) reached at 14/2000 iterations in 0.77(s). delta=3.5709e-06, mean=0.303, reward=0.405. rewards/iterations=0.391
PI Convergence True  gamma(0.7), theta(0.001) reached at 9/2000 iterations in 0.44(s). delta=0.0006147716, mean=0.303, reward=0.404. rewards/iterations=0.386
PI Convergence True  gamma(0.4), theta(1e-07) reached at 13/2000 iterations in 0.68(s). delta=2.71e-08, mean=0.2471, reward=0.4. rewards/iterations=0.387
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.5(s). delta=1.9569e-06, mean=0.2471, reward=0.4. rewards/iterations=0.388
PI Convergence True  gamma(0.4), theta(0.001) reached at 7/2000 iterations in 0.37(s). delta=0.000318505, mean=0.2471, reward=0.4. rewards/iterations=0.385
PI Convergence True  gamma(1.0), theta(1e-07) reached at 1/2000 iterations in 0.14(s). delta=0.0, mean=0.0, reward=0.311. rewards/iterations=0.311
PI Convergence True  gamma(1.0), theta(1e-05) reached at 18/2000 iterations in 1.4(s). delta=9.9068e-06, mean=0.3912, reward=0.419. rewards/iterations=0.393
PI Convergence True  gamma(1.0), theta(0.001) reached at 13/2000 iterations in 0.75(s). delta=0.0006449725, mean=0.3911, reward=0.419. rewards/iterations=0.397
PI Convergence True  gamma(0.7), theta(1e-07) reached at 18/2000 iterations in 1.22(s). delta=3.29e-08, mean=0.303, reward=0.405. rewards/iterations=0.392
PI Convergence True  gamma(0.7), theta(1e-05) reached at 14/2000 iterations in 0.77(s). delta=3.5709e-06, mean=0.303, reward=0.405. rewards/iterations=0.391
PI Convergence True  gamma(0.7), theta(0.001) reached at 9/2000 iterations in 0.46(s). delta=0.0006147716, mean=0.303, reward=0.404. rewards/iterations=0.386
PI Convergence True  gamma(0.4), theta(1e-07) reached at 13/2000 iterations in 0.64(s). delta=2.71e-08, mean=0.2471, reward=0.4. rewards/iterations=0.387
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.51(s). delta=1.9569e-06, mean=0.2471, reward=0.4. rewards/iterations=0.388
PI Convergence True  gamma(0.4), theta(0.001) reached at 7/2000 iterations in 0.37(s). delta=0.000318505, mean=0.2471, reward=0.4. rewards/iterations=0.385
