VI Convergence True  gamma(1.0), theta(1e-07) reached at 12/2000 iterations in 39.37(s). delta=7.82e-08, mean=0.3912, reward=0.411. rewards/iterations=0.421
VI Convergence True  gamma(1.0), theta(1e-05) reached at 10/2000 iterations in 34.6(s). delta=2.6418e-06, mean=0.3912, reward=0.411. rewards/iterations=0.427
VI Convergence True  gamma(1.0), theta(0.001) reached at 7/2000 iterations in 29.07(s). delta=0.000393216, mean=0.3912, reward=0.41. rewards/iterations=0.437
VI Convergence True  gamma(0.7), theta(1e-07) reached at 11/2000 iterations in 36.98(s). delta=7.2e-09, mean=0.303, reward=0.409. rewards/iterations=0.418
VI Convergence True  gamma(0.7), theta(1e-05) reached at 8/2000 iterations in 31.47(s). delta=4.4531e-06, mean=0.303, reward=0.409. rewards/iterations=0.428
VI Convergence True  gamma(0.7), theta(0.001) reached at 6/2000 iterations in 28.03(s). delta=0.0001927561, mean=0.303, reward=0.409. rewards/iterations=0.441
VI Convergence True  gamma(0.4), theta(1e-07) reached at 8/2000 iterations in 32.45(s). delta=1.3e-08, mean=0.2471, reward=0.389. rewards/iterations=0.423
VI Convergence True  gamma(0.4), theta(1e-05) reached at 6/2000 iterations in 28.71(s). delta=6.7109e-06, mean=0.2471, reward=0.389. rewards/iterations=0.435
VI Convergence True  gamma(0.4), theta(0.001) reached at 4/2000 iterations in 23.93(s). delta=0.0003437819, mean=0.2471, reward=0.389. rewards/iterations=0.461
VI Convergence True  gamma(1.0), theta(1e-07) reached at 12/2000 iterations in 34.24(s). delta=7.82e-08, mean=0.3912, reward=0.411. rewards/iterations=0.421
VI Convergence True  gamma(1.0), theta(1e-05) reached at 10/2000 iterations in 30.3(s). delta=2.6418e-06, mean=0.3912, reward=0.411. rewards/iterations=0.427
VI Convergence True  gamma(1.0), theta(0.001) reached at 7/2000 iterations in 25.02(s). delta=0.000393216, mean=0.3912, reward=0.41. rewards/iterations=0.437
VI Convergence True  gamma(0.7), theta(1e-07) reached at 11/2000 iterations in 32.37(s). delta=7.2e-09, mean=0.303, reward=0.409. rewards/iterations=0.418
VI Convergence True  gamma(0.7), theta(1e-05) reached at 8/2000 iterations in 27.77(s). delta=4.4531e-06, mean=0.303, reward=0.409. rewards/iterations=0.428
VI Convergence True  gamma(0.7), theta(0.001) reached at 6/2000 iterations in 23.58(s). delta=0.0001927561, mean=0.303, reward=0.409. rewards/iterations=0.441
VI Convergence True  gamma(0.4), theta(1e-07) reached at 8/2000 iterations in 27.55(s). delta=1.3e-08, mean=0.2471, reward=0.389. rewards/iterations=0.423
VI Convergence True  gamma(0.4), theta(1e-05) reached at 6/2000 iterations in 23.95(s). delta=6.7109e-06, mean=0.2471, reward=0.389. rewards/iterations=0.435
VI Convergence True  gamma(0.4), theta(0.001) reached at 4/2000 iterations in 21.02(s). delta=0.0003437819, mean=0.2471, reward=0.389. rewards/iterations=0.461
VI Convergence True  gamma(1.0), theta(1e-07) reached at 12/2000 iterations in 34.59(s). delta=7.82e-08, mean=0.3912, reward=0.411. rewards/iterations=0.421
VI Convergence True  gamma(1.0), theta(1e-05) reached at 10/2000 iterations in 31.03(s). delta=2.6418e-06, mean=0.3912, reward=0.411. rewards/iterations=0.427
VI Convergence True  gamma(1.0), theta(0.001) reached at 7/2000 iterations in 37.74(s). delta=0.000393216, mean=0.3912, reward=0.41. rewards/iterations=0.437
VI Convergence True  gamma(0.7), theta(1e-07) reached at 11/2000 iterations in 38.52(s). delta=7.2e-09, mean=0.303, reward=0.409. rewards/iterations=0.418
VI Convergence True  gamma(0.7), theta(1e-05) reached at 8/2000 iterations in 27.39(s). delta=4.4531e-06, mean=0.303, reward=0.409. rewards/iterations=0.428
VI Convergence True  gamma(0.7), theta(0.001) reached at 6/2000 iterations in 24.28(s). delta=0.0001927561, mean=0.303, reward=0.409. rewards/iterations=0.441
VI Convergence True  gamma(0.4), theta(1e-07) reached at 8/2000 iterations in 30.18(s). delta=1.3e-08, mean=0.2471, reward=0.389. rewards/iterations=0.423
VI Convergence True  gamma(0.4), theta(1e-05) reached at 6/2000 iterations in 27.78(s). delta=6.7109e-06, mean=0.2471, reward=0.389. rewards/iterations=0.435
VI Convergence True  gamma(0.4), theta(0.001) reached at 4/2000 iterations in 22.95(s). delta=0.0003437819, mean=0.2471, reward=0.389. rewards/iterations=0.461
