FrozenLakeQ0-5@0.5
QQ5x0.5_0 random LearningRateTest
Q random aMax(0.3) aMin(0.01) aDecay(0.001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.001, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.001, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(1e-05) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.009, avg.delta=0.003, avg.reward=0.002\n
Q random aMax(0.4) aMin(0.1) aDecay(0.001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.005, avg.delta=0.001, avg.reward=0.001\n
Q random aMax(0.4) aMin(0.1) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.006, avg.delta=0.003, avg.reward=0.001\n
Q random aMax(0.4) aMin(0.1) aDecay(1e-05) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.013, avg.delta=0.006, avg.reward=0.001\n
Q random aMax(0.5) aMin(0.2) aDecay(0.001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.009, avg.delta=0.002, avg.reward=0.001\n
Q random aMax(0.5) aMin(0.2) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.01, avg.delta=0.005, avg.reward=0.001\n
Q random aMax(0.5) aMin(0.2) aDecay(1e-05) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.016, avg.delta=0.011, avg.reward=0.001\n
QQ5x0.5_0 random DiscountFactorTest
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(0.001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.001, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(1e-05) Convergence False in 100000 episodes. avg.error=0.001, avg.delta=0.001, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(0.9) gMin(0.7) gDecay(0.001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(0.9) gMin(0.7) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(0.9) gMin(0.7) gDecay(1e-05) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(0.8) gMin(0.6) gDecay(0.001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(0.8) gMin(0.6) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
Q random aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(0.8) gMin(0.6) gDecay(1e-05) Convergence False in 100000 episodes. avg.error=0.002, avg.delta=0.0, avg.reward=0.001\n
QQ5x0.5_0 greedy LearningRateTest
Q greedy aMax(0.3) aMin(0.01) aDecay(0.001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.0, avg.delta=0.0, avg.reward=0.0\n
Q greedy aMax(0.3) aMin(0.01) aDecay(0.0001) gMax(1.0) gMin(0.8) gDecay(0.0001) Convergence False in 100000 episodes. avg.error=0.0, avg.delta=0.0, avg.reward=0.0\n
